@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Acoustic_guitar,Applause,Bark,Bass_drum,Burping_or_eructation,Bus,Cello,Chime,Clarinet,Computer_keyboard,Cough,Cowbell,Double_bass,Drawer_open_or_close,Electric_piano,Fart,Finger_snapping,Fireworks,Flute,Glockenspiel,Gong,Gunshot_or_gunfire,Harmonica,Hi-hat,Keys_jangling,Knock,Laughter,Meow,Microwave_oven,Oboe,Saxophone,Scissors,Shatter,Snare_drum,Squeak,Tambourine,Tearing,Telephone,Trumpet,Violin_or_fiddle,Writing}

@DATA
0.025720,0.003465,3.103883,0.111108,0.195926,0.092991,0.003808,0.026645,-32.107492,3.122502,-0.347990,-0.245315,-0.393383,-0.233310,0.093309,0.322283,0.180611,-0.076963,-0.259156,-0.107099,0.135571,0.004884,0.002753,0.051292,0.052000,0.015443,0.002527,0.119407,0.000424,0.003169,0.003969,0.021567,0.030836,0.043764,0.004085,0.005740,0.133700,0.019419,0.018932,0.073454,0.002049,0.015516,0.690183,0.308888,0.206940,0.153557,0.163957,0.171906,0.139149,0.141299,0.128596,0.123415,0.137748,0.140644,0.131301,0.003457,0.001424,0.017684,0.017369,0.009341,0.001262,0.035691,0.000308,0.001781,0.001854,0.011557,0.008102,0.008896,Acoustic_guitar
0.027747,0.004635,3.207159,0.136306,0.214002,0.124523,0.001673,0.020293,-33.660157,3.476572,-0.168252,-0.014483,-0.296774,-0.524094,-0.370438,-0.071017,0.306373,0.416175,0.129136,0.148774,0.243886,0.002437,0.001525,0.048100,0.021801,0.021526,0.003513,0.044738,0.000281,0.006881,0.039560,0.009027,0.007716,0.024042,0.006887,0.007265,0.038055,0.040252,0.025498,0.105171,0.000943,0.003451,1.852259,0.618927,0.272015,0.215160,0.127950,0.176878,0.159404,0.140699,0.105259,0.126732,0.102919,0.134037,0.126442,0.001018,0.000784,0.019148,0.012882,0.013428,0.001444,0.016103,0.000183,0.001556,0.013701,0.002657,0.002357,0.003975,Acoustic_guitar
0.114905,0.010380,2.964452,0.227630,0.239303,0.875378,0.005696,0.121937,-26.692057,0.982689,0.263494,0.390067,0.505106,0.021251,-0.237249,0.164706,0.145169,0.095405,-0.374135,-0.166160,-0.006749,0.030012,0.003048,0.041901,0.004070,0.008405,0.002956,0.019654,0.000512,0.003787,0.005768,0.013423,0.010242,0.017250,0.023529,0.019542,0.274337,0.046069,0.043127,0.394363,0.003460,0.047001,2.873541,0.837780,0.712486,0.453938,0.265001,0.217357,0.311693,0.243188,0.191946,0.211129,0.212376,0.218353,0.220798,0.033058,0.003783,0.043069,0.002989,0.007320,0.002175,0.017877,0.000376,0.002111,0.004862,0.005677,0.016389,0.011105,Acoustic_guitar
0.014149,0.015023,3.049602,0.078694,0.163437,0.020402,0.002355,0.017831,-28.700775,4.321708,0.472547,0.066555,-0.518597,-0.425611,-0.383101,-0.216878,-0.382410,-0.342082,-0.238258,-0.148871,-0.009540,0.007107,0.000649,0.011890,0.131509,0.046493,0.008686,0.006969,0.000285,0.021390,0.029506,0.007093,0.001517,0.036127,0.001349,0.005721,0.055724,0.034779,0.046799,0.022380,0.001741,0.002363,1.385702,0.864834,0.280823,0.141854,0.157992,0.166493,0.121112,0.130578,0.151293,0.113900,0.096758,0.110097,0.084555,0.001865,0.000558,0.002559,0.015529,0.007172,0.002888,0.002229,0.000239,0.006515,0.009735,0.002335,0.001106,0.003691,Acoustic_guitar
0.067529,0.002486,3.272061,0.208502,0.250095,0.324420,0.003706,0.006570,-38.032493,2.827395,0.887824,0.786135,0.461438,0.378974,0.235336,0.176186,0.064000,0.037814,-0.028880,-0.079187,-0.107851,0.004106,0.000556,0.017563,0.001573,0.013244,0.001054,0.148706,0.000214,0.000512,0.040209,0.010088,0.000522,0.041604,0.019186,0.001851,0.031026,0.029515,0.020644,0.070696,0.003130,0.000657,1.092669,0.438125,0.223690,0.127837,0.107985,0.085767,0.076529,0.067364,0.060764,0.068063,0.067040,0.067486,0.057631,0.001745,0.000474,0.007456,0.000683,0.003566,0.000573,0.014749,0.000132,0.000266,0.005319,0.002013,0.000326,0.003383,Acoustic_guitar
0.031789,0.006571,3.095174,0.107993,0.175003,0.222395,0.008323,0.047960,-28.676837,3.307878,0.525557,0.237146,-0.029153,0.059525,-0.157576,-0.079147,-0.048821,-0.091274,-0.082497,-0.125405,-0.230267,0.075058,0.001604,0.053359,0.013299,0.020204,0.009712,0.024342,0.000379,0.014241,0.023303,0.020682,0.006002,0.033494,0.019597,0.006071,0.239554,0.032344,0.030405,0.211137,0.009777,0.040551,1.727384,0.624918,0.302241,0.274830,0.244046,0.234346,0.210656,0.235415,0.229964,0.242874,0.241112,0.252658,0.203957,0.038087,0.001403,0.031317,0.015564,0.019297,0.009135,0.015664,0.000458,0.009162,0.017099,0.018478,0.004503,0.007923,Acoustic_guitar
0.042916,0.005710,3.269824,0.147228,0.216631,0.164851,0.000921,0.022943,-33.267220,3.120458,-0.408869,-0.054919,-0.412724,-0.548503,-0.427150,-0.161589,0.333526,0.503950,0.168812,0.253074,0.258470,0.002593,0.001962,0.023313,0.010381,0.010649,0.003908,0.028751,0.000394,0.008631,0.061787,0.010832,0.013596,0.020334,0.023833,0.007238,0.035387,0.044059,0.023593,0.129665,0.000445,0.005003,1.994231,0.682758,0.215877,0.189448,0.165974,0.136074,0.126868,0.109413,0.123102,0.089536,0.131863,0.124640,0.133746,0.000774,0.000741,0.010656,0.008484,0.007533,0.001310,0.010874,0.000262,0.001406,0.015057,0.002317,0.004363,0.003023,Acoustic_guitar
0.017604,0.013038,3.313206,0.090935,0.173006,0.016457,0.001947,0.022357,-29.490000,3.452022,-0.890298,-0.806591,-0.840850,-0.513788,-0.232374,0.199903,0.183355,0.147189,0.295402,0.185027,-0.380162,0.023306,0.003298,0.005469,0.001337,0.001424,0.006129,0.002523,0.000439,0.001619,0.007112,0.044238,0.144778,0.042208,0.000913,0.017506,0.017011,0.032355,0.042567,0.012589,0.001871,0.002988,1.068716,0.712614,0.178474,0.259894,0.234996,0.147282,0.194770,0.168080,0.140065,0.149538,0.129128,0.106459,0.136634,0.020299,0.000608,0.002123,0.000241,0.000316,0.002016,0.000951,0.000261,0.000368,0.001176,0.005978,0.014934,0.002869,Acoustic_guitar
0.020948,0.003137,3.186049,0.127057,0.212727,0.060801,0.001311,0.014651,-35.730011,3.641101,0.662674,0.592932,0.095123,0.021015,-0.013267,0.183747,0.153748,0.106816,0.127767,0.030350,-0.050332,0.003085,0.026358,0.153935,0.001856,0.054331,0.001426,0.020188,0.000119,0.009894,0.004120,0.010676,0.000372,0.044939,0.005347,0.005433,0.056143,0.012154,0.012800,0.014443,0.000678,0.001255,0.709440,0.260785,0.210543,0.167009,0.141207,0.111832,0.131293,0.125956,0.110067,0.095235,0.097151,0.108492,0.108913,0.002848,0.011173,0.023692,0.002380,0.011531,0.000759,0.007571,0.000065,0.004369,0.001735,0.004653,0.000202,0.005202,Acoustic_guitar
0.012950,0.010906,3.178381,0.067765,0.154747,0.013109,0.003308,0.021121,-30.215169,4.810902,0.522859,-0.048778,-0.424804,-0.164522,0.034770,0.094759,0.039925,0.237979,0.241438,-0.006135,-0.229879,0.003496,0.015797,0.035033,0.002034,0.006941,0.006946,0.098525,0.000384,0.002639,0.047325,0.025324,0.001902,0.030386,0.001587,0.007480,0.054103,0.028131,0.039108,0.014287,0.001878,0.001156,1.295665,0.902742,0.311560,0.144959,0.142697,0.111552,0.112902,0.103495,0.146756,0.118964,0.135789,0.113384,0.090194,0.003165,0.004096,0.010306,0.001139,0.001468,0.002948,0.010939,0.000462,0.001593,0.007137,0.005042,0.000820,0.002578,Acoustic_guitar
